Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
Asia Pacific & Europe (excl UK),10-Dec-13,24-Sep-14,288,Model S P85,73353,253.8,380,No,73353,289,218,400,weekly,never,once or twice a year,,210.6
Asia Pacific & Europe (excl UK),29-Nov-13,24-Sep-14,299,Model S P85,18200,60.7,381,Yes,18200,300,248,400,monthly,monthly,never,,59.38
Asia Pacific & Europe (excl UK),26-Mar-14,24-Sep-14,182,Model S P85,19800,108.2,385,No,19800,183,163,400,a few times a year,once or twice a year,never,,42.45
Asia Pacific & Europe (excl UK),11-Dec-13,24-Sep-14,287,Model S P85,33598,116.7,384,No,33598,288,202,400,twice a month,monthly,once or twice a year,,88.82
Asia Pacific & Europe (excl UK),26-Sep-13,24-Sep-14,363,Model S 85,49600,136.3,386,No,49600,364,221,400,twice a month,monthly,never,,143.26
Asia Pacific & Europe (excl UK),23-Nov-13,24-Sep-14,305,Model S 85,17800,58.2,386,No,17800,306,219,400,monthly,monthly,never,,50.95
Asia Pacific & Europe (excl UK),13-Nov-13,25-Sep-14,316,Model S 60,15300,48.3,285,No,15300,317,231,289,a few times a year,once or twice a year,never,,60.55
Asia Pacific & Europe (excl UK),19-Sep-13,25-Sep-14,371,Model S 85,39200,105.4,385,No,39200,372,204,400,twice a month,twice a month,never,,105.17
Asia Pacific & Europe (excl UK),13-Nov-13,25-Sep-14,316,Model S P85+,21530,67.9,388,No,21530,317,225,400,monthly,monthly,a few times a year,,63.47
Asia Pacific & Europe (excl UK),20-Jun-14,25-Sep-14,97,Model S 85,8598,87.7,388,No,8598,98,235,400,a few times a year,a few times a year,never,,26.34
Asia Pacific & Europe (excl UK),5-Jun-14,26-Sep-14,113,Model S 85,4397,38.6,392,No,4397,114,215,400,never,monthly,never,,12.25
Asia Pacific & Europe (excl UK),4-Dec-13,26-Sep-14,296,Unspecified 85 kWh,24000,80.8,382,No,24000,297,207,400,monthly,monthly,a few times a year,,65.27
Asia Pacific & Europe (excl UK),25-Sep-13,26-Sep-14,366,Unspecified 85 kWh,29481,80.3,385,No,29481,367,214,400,a few times a year,once or twice a year,never,,82.57
Asia Pacific & Europe (excl UK),4-Jun-14,26-Sep-14,114,Model S P85,6548,56.9,385,No,6548,115,247,400,once or twice a year,monthly,once or twice a year,,21.17
Asia Pacific & Europe (excl UK),19-Sep-13,26-Sep-14,372,Unspecified 85 kWh,26000,69.7,388,No,26000,373,218,400,monthly,monthly,never,,73.9
Asia Pacific & Europe (excl UK),14-Nov-13,27-Sep-14,317,Model S 85,22526,70.8,391,Yes,11319,160,235,400,monthly,a few times a year,never,,34.55
